Date,Weight_kg,Steps,Calories_Burned,Calories_Consumed,Water_Litres,Sleep_Hours,Workout,Workout_Type,Mood_Score,Stress_Level
2024-01-01,78.5,10212,2485,2481,2.8,5.6,No,Rest,3,Medium
2024-01-02,78.2,8253,3035,2011,2.1,7.8,Yes,Yoga,3,Medium
2024-01-03,78.0,8228,2396,2605,2.8,8.9,No,Running,6,Medium
2024-01-04,77.8,7592,2604,2347,2.8,6.8,Yes,Rest,4,High
2024-01-05,78.0,11939,2168,2726,1.9,7.8,Yes,Rest,8,High
2024-01-06,78.2,6434,2697,2196,3.4,7.7,No,Gym,7,High
2024-01-07,78.2,11180,2085,2220,2.7,8.5,Yes,Yoga,3,High
2024-01-08,78.3,9932,2572,1751,1.6,8.7,Yes,Rest,8,High
2024-01-09,78.4,9566,2894,2637,2.9,5.9,No,Cycling,9,Low
2024-01-10,78.5,8890,2899,1774,2.3,7.6,Yes,Running,6,Low
2024-01-11,78.2,13600,3054,1690,2.8,9.0,No,Rest,7,Medium
2024-01-12,78.0,10052,2016,1621,3.5,6.6,Yes,Yoga,4,High
2024-01-13,78.2,11499,2942,2788,3.1,7.3,No,Rest,4,Medium
2024-01-14,78.3,9129,2601,2548,3.3,6.6,No,Rest,9,Low
2024-01-15,78.2,8651,1850,2588,2.8,8.2,Yes,Yoga,7,Low
2024-01-16,78.4,4901,2090,2313,3.1,6.7,Yes,Yoga,8,Low
2024-01-17,78.6,11537,2789,2313,1.7,7.2,Yes,Gym,8,High
2024-01-18,78.3,14415,2726,2253,2.1,6.5,Yes,Yoga,1,High
2024-01-19,78.2,4885,1846,2302,2.9,6.6,No,Gym,3,High
2024-01-20,78.2,6996,2856,1957,2.0,6.5,No,Running,6,High
2024-01-21,78.0,9985,2746,2074,1.6,7.4,Yes,Rest,3,Low
2024-01-22,78.1,13493,3146,2485,2.7,6.9,Yes,Gym,10,Low
2024-01-23,78.0,10365,3012,2479,3.2,7.1,Yes,Gym,4,Low
2024-01-24,78.0,7560,1928,2782,1.6,6.4,Yes,Rest,3,Medium
2024-01-25,78.0,8340,2203,2537,2.3,7.3,Yes,Yoga,8,High
2024-01-26,78.0,13471,2441,2395,2.7,8.1,No,Cycling,10,Low
2024-01-27,78.2,8700,2520,2537,2.9,8.8,No,Running,5,High
2024-01-28,77.9,12669,1973,1874,1.9,5.0,Yes,Gym,4,Medium
2024-01-29,78.0,4916,2174,2364,3.3,6.0,No,Running,9,Medium
2024-01-30,78.2,9852,3021,1882,1.6,8.7,No,Cycling,7,Low
2024-01-31,78.1,10973,3101,2700,1.7,6.9,No,Rest,3,High
2024-02-01,78.0,5733,2802,2191,2.1,6.2,Yes,Running,6,Medium
2024-02-02,78.2,13148,1909,2335,2.6,6.2,Yes,Cycling,3,Low
2024-02-03,78.2,9290,2950,2635,2.9,6.1,No,Cycling,7,High
2024-02-04,78.2,11056,2651,2509,1.7,5.7,Yes,Running,2,High
2024-02-05,78.3,3505,2251,2198,1.9,7.1,Yes,Yoga,4,High
2024-02-06,78.4,7729,2144,2536,1.7,7.3,No,Rest,8,High
2024-02-07,78.3,11369,2031,2772,3.4,6.9,Yes,Yoga,9,Medium
2024-02-08,78.5,11880,1885,2503,2.6,5.2,No,Running,7,Low
2024-02-09,78.5,13709,2306,2209,3.4,7.4,Yes,Cycling,5,Medium
2024-02-10,78.7,4425,2699,1840,3.3,5.9,Yes,Running,10,High
2024-02-11,78.6,8744,3049,2476,2.7,6.6,Yes,Rest,3,Low
2024-02-12,78.8,6390,1921,2767,3.3,6.4,Yes,Rest,5,High
2024-02-13,78.6,11827,2144,2262,3.1,6.1,No,Yoga,5,High
2024-02-14,78.8,7380,2853,1795,2.3,7.7,Yes,Cycling,1,Medium
2024-02-15,78.5,13746,2059,1871,2.7,6.8,Yes,Running,6,Low
2024-02-16,78.6,14079,2604,2602,1.8,7.9,Yes,Rest,5,High
2024-02-17,78.8,9786,2568,2525,1.9,5.4,Yes,Rest,2,Medium
2024-02-18,78.5,11447,2369,2355,2.8,7.4,Yes,Cycling,6,High
2024-02-19,78.6,3040,1990,2538,2.0,6.6,No,Rest,6,Low
2024-02-20,78.6,11756,2614,2046,2.5,9.0,Yes,Running,8,Medium
2024-02-21,78.4,8289,2380,2291,2.9,6.6,No,Rest,3,High
2024-02-22,78.4,10951,2503,1699,2.9,7.8,Yes,Gym,8,Low
2024-02-23,78.7,5035,2123,2503,1.8,5.4,Yes,Gym,7,Low
2024-02-24,78.8,14281,2070,2218,2.7,6.1,Yes,Yoga,2,High
2024-02-25,78.5,8905,2312,1768,1.7,8.6,Yes,Rest,3,Low
2024-02-26,78.3,9493,3081,2225,2.1,5.9,No,Rest,4,Medium
2024-02-27,78.3,13739,1986,1794,1.6,7.1,Yes,Running,8,Low
2024-02-28,78.0,5174,3015,2063,3.1,5.9,No,Rest,8,Low
2024-02-29,78.0,3132,2503,1846,3.3,7.6,Yes,Rest,3,Medium
2024-03-01,78.0,4160,2268,2384,2.1,6.3,Yes,Rest,2,Low
2024-03-02,78.1,8133,2552,2212,3.5,7.6,Yes,Cycling,3,High
2024-03-03,78.2,14094,2092,1740,3.0,6.9,No,Rest,1,High
2024-03-04,77.9,13649,2136,2501,2.6,8.8,Yes,Rest,4,High
2024-03-05,77.7,5480,2643,2506,2.9,5.8,Yes,Gym,2,Low
2024-03-06,77.7,5017,3007,2386,1.7,6.8,Yes,Cycling,6,Low
2024-03-07,77.9,7059,2367,1772,2.2,7.7,Yes,Rest,10,High
2024-03-08,78.1,14815,3044,2183,3.4,5.9,No,Gym,5,Low
2024-03-09,78.0,11482,3042,2643,1.8,9.0,Yes,Rest,7,Medium
2024-03-10,78.3,13586,1911,2090,2.6,8.4,Yes,Cycling,2,Low
2024-03-11,78.3,11185,3106,1745,2.7,5.4,No,Gym,6,Medium
2024-03-12,78.4,5162,2592,2764,1.8,8.3,Yes,Yoga,9,High
2024-03-13,78.6,5830,2764,1749,2.9,5.1,Yes,Rest,2,Low
2024-03-14,78.5,7295,2241,1681,2.0,6.4,Yes,Cycling,9,Medium
2024-03-15,78.2,13298,2826,2450,3.4,7.2,Yes,Rest,7,Low
2024-03-16,78.1,13494,2898,2701,2.3,6.8,No,Running,5,Low
2024-03-17,78.2,8077,1961,2647,2.5,8.7,Yes,Running,9,Medium
2024-03-18,78.2,9401,3001,1735,3.5,8.4,Yes,Rest,7,High
2024-03-19,78.0,6909,1918,2100,3.4,5.5,Yes,Cycling,2,Medium
2024-03-20,78.2,13031,3046,1712,2.3,8.5,Yes,Rest,3,Low
2024-03-21,78.4,3207,2081,1623,3.1,8.2,Yes,Cycling,6,High
2024-03-22,78.3,11474,2330,1941,1.7,6.6,Yes,Running,5,High
2024-03-23,78.1,4934,1860,2286,2.9,6.4,Yes,Yoga,9,Low
2024-03-24,78.4,7308,2980,1757,2.8,8.3,Yes,Cycling,9,Medium
2024-03-25,78.2,3908,2823,2760,3.2,8.7,Yes,Yoga,3,Medium
2024-03-26,78.2,4685,2975,1836,2.7,8.1,Yes,Rest,9,Low
2024-03-27,78.0,3721,1825,2100,2.5,6.6,Yes,Cycling,6,Medium
2024-03-28,77.8,5458,2166,1672,2.2,5.3,No,Rest,7,Low
2024-03-29,77.5,8272,2308,2452,1.8,8.9,No,Yoga,5,Low
2024-03-30,77.5,12364,2563,1844,3.4,6.7,No,Rest,1,Low
2024-03-31,77.4,6656,2856,1694,2.5,6.8,Yes,Gym,8,Medium
2024-04-01,77.2,8090,2470,1776,2.8,5.9,No,Cycling,1,Medium
2024-04-02,77.2,6287,2397,2754,2.8,5.6,Yes,Rest,10,Low
2024-04-03,77.0,10600,2554,2610,3.1,6.8,Yes,Rest,9,Low
2024-04-04,76.7,5466,1813,2439,3.5,5.2,Yes,Running,9,Medium
2024-04-05,76.8,13419,1819,2286,3.5,6.0,Yes,Rest,7,High
2024-04-06,76.6,14914,2429,1812,1.7,6.2,Yes,Rest,4,Medium
2024-04-07,76.4,11061,1922,1891,2.9,5.2,No,Yoga,2,Low
2024-04-08,76.4,6792,2864,2445,3.5,8.3,No,Yoga,8,High
2024-04-09,76.4,4391,2989,1795,2.1,7.5,No,Running,7,Low
2024-04-10,76.4,12697,2962,1727,2.4,5.5,Yes,Rest,3,Low
2024-04-11,76.7,7778,2334,2245,2.4,5.8,Yes,Rest,6,Medium
2024-04-12,76.6,10417,2356,2078,2.3,8.3,Yes,Running,3,High
2024-04-13,76.7,4785,2118,1816,3.0,5.0,Yes,Cycling,8,Medium
2024-04-14,76.7,9660,2047,2697,2.5,5.1,Yes,Running,8,Medium
2024-04-15,76.5,10591,2342,1845,3.0,5.5,Yes,Running,5,High
2024-04-16,76.6,14417,3035,1682,1.9,5.0,Yes,Yoga,3,Low
2024-04-17,76.4,14651,2308,2328,3.5,8.2,Yes,Rest,1,High
2024-04-18,76.7,7896,2332,1956,2.5,5.4,Yes,Cycling,8,High
2024-04-19,76.7,12013,2311,1793,2.4,8.4,Yes,Gym,3,Low
2024-04-20,76.5,3195,1926,2055,2.5,5.6,Yes,Running,7,Medium
2024-04-21,76.4,14244,3090,1772,3.0,6.9,No,Rest,5,Low
2024-04-22,76.3,3357,1932,2004,2.3,6.8,No,Cycling,3,Low
2024-04-23,76.5,8432,2050,1687,3.3,8.8,Yes,Gym,3,High
2024-04-24,76.6,10096,2608,2616,2.1,7.8,Yes,Cycling,7,Low
2024-04-25,76.6,8799,2239,1983,2.0,8.4,Yes,Yoga,8,Low
2024-04-26,76.3,3567,3057,2103,3.3,6.8,No,Yoga,8,Medium
2024-04-27,76.4,12022,2781,1724,2.8,8.6,Yes,Yoga,7,Low
2024-04-28,76.5,9868,2208,2676,2.7,5.3,Yes,Rest,9,Low
2024-04-29,76.5,9266,2535,2582,1.8,7.9,No,Cycling,6,High
2024-04-30,76.5,11231,2458,2395,2.9,5.2,Yes,Running,1,Medium
2024-05-01,76.3,12783,2248,1660,2.9,5.3,Yes,Gym,8,High
2024-05-02,76.0,8856,2996,2076,1.5,8.8,Yes,Gym,4,High
2024-05-03,76.1,6951,2345,2692,2.2,6.2,No,Gym,4,High
2024-05-04,76.1,9363,2526,1955,3.0,7.6,Yes,Running,10,Medium
2024-05-05,75.9,14429,2534,1657,1.8,5.4,No,Rest,6,High
2024-05-06,76.0,12234,2091,2753,3.0,6.1,Yes,Cycling,9,Medium
2024-05-07,75.7,5876,2804,1677,1.7,8.9,Yes,Gym,4,High
2024-05-08,75.6,6584,1840,2678,3.0,7.5,Yes,Gym,6,High
2024-05-09,75.5,6300,2067,2297,1.9,5.5,No,Running,6,Low
2024-05-10,75.5,3359,2102,1890,3.0,7.6,Yes,Rest,6,Low
2024-05-11,75.6,9120,3156,2410,1.6,8.9,No,Gym,6,Medium
2024-05-12,75.7,8285,2079,1922,2.1,8.9,No,Cycling,8,High
2024-05-13,75.8,8198,2156,2750,2.7,8.0,No,Rest,6,Low
2024-05-14,76.0,13904,3006,1959,2.8,5.5,Yes,Yoga,5,Low
2024-05-15,75.9,5911,1803,2773,3.4,5.9,Yes,Rest,1,Low
2024-05-16,75.8,12869,2451,2052,2.4,6.8,No,Rest,2,Medium
2024-05-17,75.9,5304,2478,1759,3.4,6.0,Yes,Yoga,6,Low
2024-05-18,75.7,13423,1981,2287,1.9,8.5,Yes,Gym,5,Low
2024-05-19,75.7,7088,1938,2317,2.1,8.3,Yes,Gym,1,Low
2024-05-20,76.0,9323,2697,2459,3.2,8.7,Yes,Cycling,8,Medium
2024-05-21,75.8,8754,2918,2368,3.0,6.8,Yes,Cycling,10,High
2024-05-22,76.0,14258,2261,1933,3.0,8.1,Yes,Gym,1,Medium
2024-05-23,76.1,3328,2452,2134,1.9,7.2,Yes,Gym,6,Low
2024-05-24,76.4,9151,2129,1753,3.4,5.2,No,Gym,6,High
2024-05-25,76.2,13053,2788,1663,1.8,7.9,Yes,Rest,3,High
2024-05-26,76.4,10113,2121,1709,1.9,7.0,Yes,Yoga,4,Low
2024-05-27,76.6,9705,2934,2706,3.0,7.2,Yes,Rest,5,Medium
2024-05-28,76.7,6891,1996,1701,2.5,6.2,Yes,Rest,9,Medium
2024-05-29,76.7,5516,1911,2338,2.9,8.5,Yes,Cycling,2,Medium
2024-05-30,76.8,13846,3080,2583,3.0,5.6,Yes,Gym,1,Low
2024-05-31,76.8,5798,3107,2197,1.5,6.0,Yes,Cycling,2,Medium
2024-06-01,76.9,9512,2764,2601,3.5,5.4,No,Yoga,2,High
2024-06-02,76.8,11914,2593,1978,3.1,5.8,Yes,Cycling,6,Low
2024-06-03,76.9,10303,1891,2139,3.0,7.5,Yes,Cycling,5,Low
2024-06-04,76.7,7400,2955,1726,2.2,8.1,Yes,Rest,2,Low
2024-06-05,76.7,13946,2504,2708,1.5,8.0,Yes,Rest,4,High
2024-06-06,76.4,3999,2592,2670,3.0,5.8,Yes,Rest,8,High
2024-06-07,76.7,6860,2775,2212,2.2,6.3,Yes,Cycling,1,High
2024-06-08,76.5,12358,2858,2770,2.1,8.5,No,Rest,3,Low
2024-06-09,76.8,10357,2154,1942,2.2,6.8,Yes,Running,3,Low
2024-06-10,76.9,9936,1960,2491,3.3,7.4,Yes,Rest,3,High
2024-06-11,76.9,7225,2454,1737,2.3,7.8,Yes,Cycling,9,Medium
