Date,Category,Member,Amount,Payment_Mode,Is_Essential
2024-01-01,Groceries,Me,4443,Cash,Yes
2024-01-01,Rent,Dad,15304,UPI,Yes
2024-01-01,Electricity,Mom,2099,UPI,Yes
2024-01-01,Internet,Me,879,Cash,Yes
2024-01-01,Transport,Sister,1932,Cash,No
2024-01-01,Dining Out,Me,2634,Cash,No
2024-01-01,Entertainment,Mom,1244,UPI,No
2024-01-01,Healthcare,Me,1480,UPI,Yes
2024-01-01,Clothing,Sister,2201,UPI,No
2024-01-01,Savings,Sister,5770,Credit Card,Yes
2024-02-01,Groceries,Me,3646,UPI,Yes
2024-02-01,Rent,Sister,15419,Credit Card,Yes
2024-02-01,Electricity,Dad,2189,UPI,Yes
2024-02-01,Internet,Mom,725,Credit Card,Yes
2024-02-01,Transport,Me,1960,Cash,No
2024-02-01,Dining Out,Sister,2675,Cash,No
2024-02-01,Entertainment,Dad,1428,Credit Card,No
2024-02-01,Healthcare,Dad,1275,Cash,Yes
2024-02-01,Clothing,Sister,2032,Cash,No
2024-02-01,Savings,Sister,4728,Cash,Yes
2024-03-01,Groceries,Dad,4977,Credit Card,Yes
2024-03-01,Rent,Mom,10437,Cash,Yes
2024-03-01,Electricity,Me,1703,UPI,Yes
2024-03-01,Internet,Dad,787,Cash,Yes
2024-03-01,Transport,Mom,2262,Cash,No
2024-03-01,Dining Out,Sister,3578,Credit Card,No
2024-03-01,Entertainment,Sister,1350,Credit Card,No
2024-03-01,Healthcare,Mom,1269,Credit Card,Yes
2024-03-01,Clothing,Dad,2192,UPI,No
2024-03-01,Savings,Dad,4116,Cash,Yes
2024-04-01,Groceries,Mom,4967,UPI,Yes
2024-04-01,Rent,Mom,10623,Debit Card,Yes
2024-04-01,Electricity,Sister,1499,Credit Card,Yes
2024-04-01,Internet,Mom,1020,Credit Card,Yes
2024-04-01,Transport,Me,2822,UPI,No
2024-04-01,Dining Out,Me,3613,Credit Card,No
2024-04-01,Entertainment,Sister,1428,Credit Card,No
