Employee_ID,Department,Gender,Age,Join_Year,Tenure_Years,Monthly_Salary,Performance_Score,Leaves_Taken,Training_Hours,Promotion
EMP0001,HR,Female,51,2018,6,72672,2.8,2,50,No
EMP0002,Finance,Female,31,2021,3,79582,4.2,3,61,Yes
EMP0003,Marketing,Female,48,2019,5,91566,4.3,22,56,Yes
EMP0004,HR,Male,29,2024,0,48008,3.3,13,61,Yes
EMP0005,HR,Female,45,2024,0,57135,4.5,10,38,No
EMP0006,Sales,Male,38,2018,6,88752,4.1,16,34,No
EMP0007,Marketing,Male,29,2023,1,86891,4.0,3,28,No
EMP0008,Sales,Male,46,2019,5,81742,2.6,24,19,No
EMP0009,Operations,Female,46,2021,3,83819,2.6,18,67,No
EMP0010,Operations,Male,36,2020,4,88792,3.8,2,70,No
EMP0011,Operations,Female,40,2020,4,90522,4.5,1,55,Yes
EMP0012,Marketing,Female,23,2021,3,101579,3.4,1,57,No
EMP0013,Engineering,Male,41,2023,1,101729,3.5,19,74,No
EMP0014,HR,Male,36,2022,2,63826,4.1,18,34,No
EMP0015,Finance,Male,52,2021,3,104888,5.0,1,67,Yes
EMP0016,Marketing,Male,38,2023,1,83805,3.5,20,32,Yes
EMP0017,Sales,Female,36,2023,1,69374,4.3,16,76,No
EMP0018,Marketing,Female,34,2020,4,83648,2.8,13,53,Yes
EMP0019,Operations,Female,24,2023,1,62538,3.2,10,22,No
EMP0020,Marketing,Male,32,2020,4,85452,3.1,2,28,No
EMP0021,Marketing,Female,26,2023,1,64768,2.5,19,20,No
EMP0022,Finance,Female,48,2021,3,108510,3.6,4,77,Yes
EMP0023,Operations,Female,38,2023,1,63206,4.2,11,12,No
EMP0024,Marketing,Male,32,2019,5,87544,4.9,24,72,No
EMP0025,Sales,Male,24,2019,5,98738,2.7,9,22,Yes
EMP0026,Operations,Male,41,2020,4,76505,4.7,12,29,No
EMP0027,Sales,Male,45,2024,0,76743,3.7,14,15,No
EMP0028,Marketing,Male,36,2023,1,79746,2.9,19,46,No
EMP0029,Sales,Male,31,2022,2,88691,3.1,15,34,No
EMP0030,Operations,Female,36,2022,2,80709,4.1,24,46,No
EMP0031,Finance,Female,52,2022,2,90862,3.8,5,35,No
EMP0032,Marketing,Female,49,2018,6,92515,2.9,11,80,Yes
EMP0033,Operations,Male,31,2024,0,55630,3.0,2,30,No
EMP0034,HR,Male,48,2022,2,70403,3.4,13,21,No
EMP0035,HR,Male,35,2020,4,61265,4.9,1,60,No
EMP0036,Sales,Male,33,2021,3,91181,4.8,7,13,No
EMP0037,Engineering,Female,47,2024,0,101849,2.9,4,27,Yes
EMP0038,Marketing,Female,44,2024,0,69208,4.4,4,70,No
EMP0039,Finance,Male,22,2018,6,116469,2.9,8,37,No
EMP0040,Finance,Female,25,2023,1,91127,3.1,24,46,No
EMP0041,Marketing,Male,29,2018,6,92277,3.8,13,68,Yes
EMP0042,Engineering,Female,41,2024,0,89890,4.0,17,12,No
EMP0043,Operations,Female,35,2019,5,71444,4.7,0,55,No
EMP0044,Finance,Male,43,2021,3,85574,2.8,21,20,No
EMP0045,Engineering,Male,34,2022,2,112507,4.9,15,15,No
EMP0046,Marketing,Male,33,2020,4,103196,4.5,2,54,No
EMP0047,Operations,Male,46,2023,1,69293,3.9,18,52,No
EMP0048,Engineering,Female,48,2020,4,95792,3.5,20,32,No
EMP0049,Operations,Male,47,2021,3,71180,3.1,4,18,No
EMP0050,Engineering,Male,23,2020,4,120028,3.7,6,15,No
EMP0051,Marketing,Female,48,2022,2,70094,3.1,17,70,No
EMP0052,Engineering,Male,31,2024,0,92577,2.7,11,16,No
EMP0053,Marketing,Female,35,2018,6,114103,3.7,12,66,No
EMP0054,Marketing,Female,44,2019,5,96220,4.0,15,57,No
EMP0055,Engineering,Female,24,2023,1,103559,3.4,13,33,No
EMP0056,Marketing,Male,32,2018,6,108078,3.9,21,47,No
EMP0057,HR,Female,27,2022,2,59155,4.7,22,66,No
EMP0058,HR,Female,41,2018,6,88183,4.1,13,45,Yes
EMP0059,Engineering,Female,33,2023,1,104384,4.7,16,30,Yes
EMP0060,Sales,Female,23,2024,0,71365,4.6,4,18,No
EMP0061,Operations,Female,34,2020,4,84028,4.2,18,14,No
EMP0062,Operations,Female,33,2021,3,77429,4.4,14,19,No
EMP0063,Finance,Female,32,2020,4,86929,4.7,20,45,No
EMP0064,Engineering,Male,37,2018,6,139426,2.6,16,59,Yes
EMP0065,Marketing,Female,44,2024,0,79733,2.8,14,37,No
EMP0066,Operations,Male,25,2021,3,70225,4.4,4,19,No
EMP0067,Sales,Female,24,2023,1,63031,4.5,21,50,No
EMP0068,Operations,Female,50,2018,6,97234,3.8,9,30,No
EMP0069,Marketing,Male,25,2022,2,68008,3.2,6,27,No
EMP0070,HR,Female,39,2018,6,83249,5.0,18,57,No
EMP0071,Finance,Male,24,2019,5,108452,3.1,9,60,No
EMP0072,Finance,Female,48,2021,3,97275,3.8,18,19,No
EMP0073,Marketing,Male,36,2023,1,84109,2.8,14,76,No
EMP0074,Sales,Male,46,2024,0,72563,3.9,4,65,Yes
EMP0075,Engineering,Male,31,2022,2,115025,3.4,5,30,No
EMP0076,Operations,Female,52,2019,5,86785,4.8,16,46,Yes
EMP0077,Marketing,Female,26,2019,5,83716,4.8,20,48,Yes
EMP0078,Finance,Male,40,2023,1,87533,2.7,18,29,No
EMP0079,Operations,Female,48,2022,2,65345,4.3,18,15,Yes
EMP0080,Engineering,Female,42,2018,6,105440,4.0,6,63,Yes
EMP0081,HR,Female,42,2023,1,57147,4.1,9,71,No
EMP0082,Operations,Female,36,2021,3,62872,4.7,2,17,No
EMP0083,HR,Female,36,2021,3,79242,4.9,6,53,No
EMP0084,Marketing,Female,45,2024,0,77866,2.8,11,61,No
EMP0085,Marketing,Male,32,2022,2,89008,2.6,7,69,Yes
EMP0086,Marketing,Male,26,2021,3,72651,3.3,3,16,No
EMP0087,HR,Female,29,2024,0,56156,4.4,5,51,No
EMP0088,Sales,Male,37,2024,0,70795,3.6,16,69,No
EMP0089,Marketing,Male,24,2021,3,80107,5.0,12,74,No
EMP0090,Sales,Female,23,2019,5,87677,3.6,1,46,No
EMP0091,Finance,Female,31,2024,0,68045,4.5,17,11,Yes
EMP0092,HR,Female,45,2019,5,81140,3.1,11,61,No
EMP0093,Engineering,Male,40,2021,3,90388,4.2,17,34,No
EMP0094,Finance,Male,34,2020,4,103592,3.2,16,67,No
EMP0095,Finance,Male,26,2023,1,94920,2.9,3,60,No
EMP0096,Marketing,Female,46,2022,2,79905,4.9,4,35,No
EMP0097,Finance,Male,23,2018,6,106170,4.1,4,52,No
EMP0098,Finance,Male,41,2021,3,89766,3.2,16,27,No
EMP0099,Finance,Male,34,2020,4,114662,3.5,19,48,No
EMP0100,Finance,Female,44,2024,0,87220,3.1,18,48,No
EMP0101,Engineering,Female,43,2020,4,100595,2.6,3,63,No
EMP0102,Operations,Male,41,2024,0,64685,3.4,15,43,No
EMP0103,Operations,Female,27,2018,6,98195,3.7,16,58,No
EMP0104,Operations,Male,40,2019,5,96298,3.0,22,24,No
EMP0105,Engineering,Female,35,2021,3,118691,4.4,4,62,No
EMP0106,HR,Female,49,2022,2,70213,4.6,23,17,No
EMP0107,Finance,Female,43,2019,5,113031,4.1,15,77,No
EMP0108,Marketing,Female,51,2019,5,84666,2.6,17,53,No
