Date,Dish,Category,Orders,Price,Revenue,Cost,Profit,Day_of_Week,Rating
2024-01-01,Butter Chicken,Main Course,13,320,4160,1417,2743,Monday,4.3
2024-01-01,Paneer Tikka,Main Course,59,280,16520,5723,10797,Monday,4.9
2024-01-01,Biryani,Main Course,16,350,5600,1904,3696,Monday,4.1
2024-01-01,Dal Makhani,Main Course,30,220,6600,2850,3750,Monday,4.8
2024-01-01,Tandoori Roti,Bread/Dessert/Beverage,119,40,4760,1547,3213,Monday,4.7
2024-01-01,Naan,Bread/Dessert/Beverage,83,50,4150,1494,2656,Monday,4.2
2024-01-01,Gulab Jamun,Bread/Dessert/Beverage,109,80,8720,2834,5886,Monday,3.6
2024-01-01,Lassi,Bread/Dessert/Beverage,37,90,3330,1369,1961,Monday,4.2
2024-01-01,Samosa,Bread/Dessert/Beverage,119,60,7140,2618,4522,Monday,4.6
2024-01-01,Chole Bhature,Main Course,38,160,6080,2508,3572,Monday,3.7
2024-01-02,Butter Chicken,Main Course,92,320,29440,11500,17940,Tuesday,3.7
2024-01-02,Paneer Tikka,Main Course,38,280,10640,4408,6232,Tuesday,4.5
2024-01-02,Biryani,Main Course,96,350,33600,14880,18720,Tuesday,3.6
2024-01-02,Dal Makhani,Main Course,36,220,7920,2448,5472,Tuesday,3.9
2024-01-02,Tandoori Roti,Bread/Dessert/Beverage,44,40,1760,616,1144,Tuesday,3.9
2024-01-02,Naan,Bread/Dessert/Beverage,93,50,4650,2046,2604,Tuesday,3.9
2024-01-02,Gulab Jamun,Bread/Dessert/Beverage,62,80,4960,1674,3286,Tuesday,4.6
2024-01-02,Lassi,Bread/Dessert/Beverage,75,90,6750,2475,4275,Tuesday,4.7
2024-01-02,Samosa,Bread/Dessert/Beverage,12,60,720,228,492,Tuesday,4.2
2024-01-02,Chole Bhature,Main Course,120,160,19200,5880,13320,Tuesday,3.6
2024-01-03,Butter Chicken,Main Course,109,320,34880,15260,19620,Wednesday,3.7
2024-01-03,Paneer Tikka,Main Course,108,280,30240,11448,18792,Wednesday,4.1
2024-01-03,Biryani,Main Course,97,350,33950,11931,22019,Wednesday,4.8
2024-01-03,Dal Makhani,Main Course,11,220,2420,737,1683,Wednesday,4.5
2024-01-03,Tandoori Roti,Bread/Dessert/Beverage,70,40,2800,1260,1540,Wednesday,4.3
2024-01-03,Naan,Bread/Dessert/Beverage,26,50,1300,572,728,Wednesday,3.6
2024-01-03,Gulab Jamun,Bread/Dessert/Beverage,92,80,7360,2668,4692,Wednesday,3.9
2024-01-03,Lassi,Bread/Dessert/Beverage,32,90,2880,1184,1696,Wednesday,5.0
2024-01-03,Samosa,Bread/Dessert/Beverage,86,60,5160,1720,3440,Wednesday,4.5
2024-01-03,Chole Bhature,Main Course,112,160,17920,5936,11984,Wednesday,4.3
2024-01-04,Butter Chicken,Main Course,11,320,3520,1298,2222,Thursday,5.0
2024-01-04,Paneer Tikka,Main Course,38,280,10640,4180,6460,Thursday,4.0
2024-01-04,Biryani,Main Course,42,350,14700,4662,10038,Thursday,3.7
2024-01-04,Dal Makhani,Main Course,87,220,19140,6351,12789,Thursday,3.9
2024-01-04,Tandoori Roti,Bread/Dessert/Beverage,113,40,4520,1921,2599,Thursday,4.3
2024-01-04,Naan,Bread/Dessert/Beverage,49,50,2450,931,1519,Thursday,3.7
2024-01-04,Gulab Jamun,Bread/Dessert/Beverage,101,80,8080,3434,4646,Thursday,4.6
2024-01-04,Lassi,Bread/Dessert/Beverage,100,90,9000,2800,6200,Thursday,4.6
2024-01-04,Samosa,Bread/Dessert/Beverage,92,60,5520,2116,3404,Thursday,3.6
2024-01-04,Chole Bhature,Main Course,45,160,7200,2655,4545,Thursday,4.2
2024-01-05,Butter Chicken,Main Course,64,320,20480,6656,13824,Friday,4.9
2024-01-05,Paneer Tikka,Main Course,58,280,16240,6960,9280,Friday,4.5
2024-01-05,Biryani,Main Course,119,350,41650,15351,26299,Friday,4.1
2024-01-05,Dal Makhani,Main Course,54,220,11880,4698,7182,Friday,4.3
2024-01-05,Tandoori Roti,Bread/Dessert/Beverage,68,40,2720,816,1904,Friday,4.3
2024-01-05,Naan,Bread/Dessert/Beverage,42,50,2100,882,1218,Friday,4.2
2024-01-05,Gulab Jamun,Bread/Dessert/Beverage,37,80,2960,925,2035,Friday,4.7
