Date,Product,Region,Units_Sold,Revenue,Cost,Profit,Profit_Margin_Pct,Category
2023-01-01,Laptop,Hyderabad,61,3965000,2197838,1767162,44.6,Computing
2023-01-01,Laptop,Chennai,234,15210000,10854620,4355380,28.6,Computing
2023-01-01,Laptop,Mumbai,356,23140000,16015579,7124421,30.8,Computing
2023-01-01,Laptop,Bangalore,318,20670000,13814084,6855916,33.2,Computing
2023-01-01,Smartphone,Hyderabad,124,3100000,1920518,1179482,38.0,Mobile & Audio
2023-01-01,Smartphone,Chennai,362,9050000,5244113,3805887,42.1,Mobile & Audio
2023-01-01,Smartphone,Bangalore,386,9650000,5564135,4085865,42.3,Mobile & Audio
2023-01-01,Smartphone,Delhi,180,4500000,2666436,1833564,40.7,Mobile & Audio
2023-01-01,Headphones,Delhi,363,1270500,817400,453100,35.7,Mobile & Audio
2023-01-01,Headphones,Bangalore,350,1225000,822565,402435,32.9,Mobile & Audio
2023-01-01,Headphones,Pune,173,605500,400982,204518,33.8,Mobile & Audio
2023-01-01,Headphones,Mumbai,254,889000,531256,357744,40.2,Mobile & Audio
2023-01-01,Tablet,Bangalore,338,11830000,8426830,3403170,28.8,Mobile & Audio
2023-01-01,Tablet,Mumbai,308,10780000,7281270,3498730,32.5,Mobile & Audio
2023-01-01,Tablet,Hyderabad,71,2485000,1600937,884063,35.6,Mobile & Audio
2023-01-01,Tablet,Delhi,57,1995000,1304715,690285,34.6,Mobile & Audio
2023-01-01,Smartwatch,Hyderabad,497,7455000,4632030,2822970,37.9,Mobile & Audio
2023-01-01,Smartwatch,Delhi,198,2970000,1758579,1211421,40.8,Mobile & Audio
2023-01-01,Smartwatch,Bangalore,471,7065000,4313291,2751709,38.9,Mobile & Audio
2023-01-01,Smartwatch,Mumbai,55,825000,560038,264962,32.1,Mobile & Audio
2023-01-01,Keyboard,Delhi,244,610000,336993,273007,44.8,Computing
2023-01-01,Keyboard,Bangalore,446,1115000,635252,479748,43.0,Computing
2023-01-01,Keyboard,Hyderabad,298,745000,415576,329424,44.2,Computing
2023-01-01,Keyboard,Mumbai,380,950000,529078,420922,44.3,Computing
2023-01-01,Mouse,Bangalore,438,525600,365517,160083,30.5,Computing
2023-01-01,Mouse,Hyderabad,303,363600,243474,120126,33.0,Computing
2023-01-01,Mouse,Mumbai,173,207600,130915,76685,36.9,Computing
2023-01-01,Mouse,Chennai,497,596400,337939,258461,43.3,Computing
2023-01-01,Monitor,Chennai,79,1422000,900943,521057,36.6,Computing
2023-01-01,Monitor,Mumbai,475,8550000,5390691,3159309,37.0,Computing
2023-01-01,Monitor,Delhi,74,1332000,771820,560180,42.1,Computing
2023-01-01,Monitor,Pune,400,7200000,4491034,2708966,37.6,Computing
2023-01-01,Webcam,Hyderabad,329,1316000,812953,503047,38.2,Computing
2023-01-01,Webcam,Delhi,127,508000,332585,175415,34.5,Computing
2023-01-01,Webcam,Bangalore,387,1548000,1018531,529469,34.2,Computing
2023-01-01,Webcam,Chennai,195,780000,435007,344993,44.2,Computing
2023-01-01,Speaker,Delhi,483,2415000,1482047,932953,38.6,Mobile & Audio
2023-01-01,Speaker,Bangalore,484,2420000,1588479,831521,34.4,Mobile & Audio
2023-01-01,Speaker,Pune,453,2265000,1439483,825517,36.4,Mobile & Audio
2023-01-01,Speaker,Chennai,46,230000,159989,70011,30.4,Mobile & Audio
2023-02-01,Laptop,Mumbai,21,1365000,903600,461400,33.8,Computing
2023-02-01,Laptop,Pune,190,12350000,7134581,5215419,42.2,Computing
2023-02-01,Laptop,Bangalore,414,26910000,15123331,11786669,43.8,Computing
2023-02-01,Laptop,Chennai,86,5590000,3684991,1905009,34.1,Computing
2023-02-01,Smartphone,Chennai,246,6150000,3410218,2739782,44.5,Mobile & Audio
2023-02-01,Smartphone,Bangalore,302,7550000,4904343,2645657,35.0,Mobile & Audio
2023-02-01,Smartphone,Delhi,381,9525000,6761218,2763782,29.0,Mobile & Audio
2023-02-01,Smartphone,Hyderabad,238,5950000,3854592,2095408,35.2,Mobile & Audio
2023-02-01,Headphones,Hyderabad,472,1652000,1017614,634386,38.4,Mobile & Audio
2023-02-01,Headphones,Mumbai,373,1305500,860793,444707,34.1,Mobile & Audio
2023-02-01,Headphones,Chennai,482,1687000,1059272,627728,37.2,Mobile & Audio
2023-02-01,Headphones,Pune,96,336000,215966,120034,35.7,Mobile & Audio
2023-02-01,Tablet,Hyderabad,302,10570000,7505218,3064782,29.0,Mobile & Audio
2023-02-01,Tablet,Mumbai,95,3325000,2046995,1278005,38.4,Mobile & Audio
2023-02-01,Tablet,Bangalore,240,8400000,5992580,2407420,28.7,Mobile & Audio
2023-02-01,Tablet,Pune,85,2975000,2094131,880869,29.6,Mobile & Audio
